t,z
0.01,32.119999
0.02,32.259998
0.03,32.290001
0.04,31.940001
0.05,31.209999
0.06,31.52
0.07,31.1
0.08,30.469999
0.09,30.35
0.1,30.98
0.11,30.809999
0.12,31.08
0.13,31.440001
0.14,31.139999
0.15,31.01
0.16,32.419998
0.17,32.119999
0.18,31.92
0.19,32.200001
0.2,32.110001
0.21,31.98
0.22,32.02
0.23,32.009998
0.24,31.799999
0.25,31.76
0.26,30.98
0.27,30.65
0.28,30.5
0.29,30.76
0.3,30.74
0.31,31.16
0.32,30.68
0.33,30.209999
0.34,29.9
0.35,29.719999
0.36,29.27
0.37,29.75
0.38,29.76
0.39,29.110001
0.4,29.07
0.41,29.059999
0.42,29.559999
0.43,29.34
0.44,29.190001
0.45,28.450001
0.46,28.549999
0.47,28.51
0.48,29.35
0.49,29.23
0.5,29.65
0.51,28.9
0.52,29.290001
0.53,29.129999
0.54,29.34
0.55,30.02
0.56,29.84
0.57,30.700001
0.58,30.93
0.59,30.139999
0.6,30.700001
0.61,29.870001
0.62,30.02
0.63,30.17
0.64,29.91
0.65,30.59
0.66,30.559999
0.67,30.76
0.68,30.700001
0.69,30.190001
0.7,30
0.71,29.74
0.72,29.299999
0.73,28.629999
0.74,29.389999
0.75,29.440001
0.76,29.66
0.77,30.450001
0.78,30.67
0.79,30.120001
0.8,29.280001
0.81,29.15
0.82,28.83
0.83,29.16
0.84,29.76
0.85,29.639999
0.86,29.469999
0.87,29.41
0.88,29.190001
0.89,29.75
0.9,29.950001
0.91,30.26
0.92,30.33
0.93,30.5
0.94,30.42
0.95,30.389999
0.96,30.129999
0.97,30.200001
0.98,30.780001
0.99,30.9
1,30.74
1.01,30.799999
1.02,30.540001
1.03,30.26
1.04,30.559999
1.05,30.690001
1.06,30.629999
1.07,30.65
1.08,30.32
1.09,30.82
1.1,30.389999
1.11,30.389999
1.12,31.35
1.13,30.950001
1.14,30.719999
1.15,30.790001
1.16,30.780001
1.17,30.940001
1.18,31.209999
1.19,31.209999
1.2,31.18
1.21,31.049999
1.22,31.450001
1.23,31.190001
1.24,30.780001
1.25,30.389999
1.26,30.17
1.27,30.16
1.28,29.76
1.29,29.49
1.3,29.66
1.31,29.860001
1.32,30.030001
1.33,29.85
1.34,29.780001
1.35,29.280001
1.36,28.98
1.37,28.950001
1.38,29.200001
1.39,29.51
1.4,29.49
1.41,29.59
1.42,29.5
1.43,28.639999
1.44,28
1.45,28.049999
1.46,27.9
1.47,27.879999
1.48,28.209999
1.49,28.540001
1.5,29.52
1.51,29.5
1.52,29.629999
1.53,29.860001
1.54,29.08
1.55,28.809999
1.56,28.83
1.57,28.219999
1.58,27.09
1.59,26.84
1.6,26.66
1.61,26.52
1.62,26.73
1.63,26.709999
1.64,26.950001
1.65,27.700001
1.66,27.389999
1.67,27.08
1.68,27.360001
1.69,26.950001
1.7,26.620001
1.71,26.43
1.72,26.370001
1.73,26.67
1.74,26.73
1.75,26.459999
1.76,26.940001
1.77,27.32
1.78,27.24
1.79,27.110001
1.8,26.809999
1.81,27.1
1.82,27.559999
1.83,27.309999
1.84,27.68
1.85,27.450001
1.86,27.059999
1.87,26.860001
1.88,26.959999
1.89,26.549999
1.9,26.709999
1.91,27.620001
1.92,27.25
1.93,26.74
1.94,26.690001
1.95,26.549999
1.96,26.700001
1.97,26.459999
1.98,26.83
1.99,26.889999
2,27.209999
2.01,27.040001
2.02,27.25
2.03,27.25
2.04,27.15
2.05,27.610001
2.06,27.629999
2.07,27.879999
2.08,27.91
2.09,28.01
2.1,27.85
2.11,27.450001
2.12,27.93
2.13,27.440001
2.14,27.5
2.15,27.34
2.16,27.280001
2.17,27.549999
2.18,27.860001
2.19,27.879999
2.2,28.030001
2.21,28.040001
2.22,28.01
2.23,28.049999
2.24,27.870001
2.25,27.49
2.26,27.76
2.27,27.370001
2.28,27.370001
2.29,27.809999
2.3,27.799999
2.31,27.950001
